AREA_CODE,AGE_GROUP,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,age
E06000005,86,378,382.538,404.811,442.385,421.789,463.452,469.595,490.235,509.868,540.498,498.757,481.897,493.064,514.397,591.21,627.371,643.346,826.905,731.739,722.066,689.075,679.14,668.401,699.123,695.54,685.09,86
E06000005,87,351,338.06,344.777,364.559,397.395,380.877,419.073,425.455,444.943,463.237,491.412,454.518,439.767,450.839,471.021,542.07,575.047,590.869,761.026,674.112,665.148,636.34,627.907,618.416,647.234,644.596,87
E06000005,88,297,312.454,303.441,309.008,327.92,357.922,343.854,378.615,385.068,403.492,420.779,446.697,414.326,401.293,412.568,431.823,497.066,527.694,542.676,699.904,621.372,613.621,587.47,580.341,572.076,599.473,88
E06000005,89,287,261.527,274.449,268.035,271.614,290.684,317.101,305.326,336.798,343.211,360.7,376.723,400.182,372.3,361.084,372.351,390.396,449.823,477.756,492.132,636.018,565.697,558.982,536.068,530.32,523.264,89
E06000005,90,1037,1053.197,1052.686,1064.491,1075.593,1092.33,1118.498,1163.579,1193.887,1248.341,1301.665,1362.908,1430.679,1509.251,1554.178,1583.288,1620.614,1672.669,1771.682,1881.75,1989.679,2212.019,2344.897,2451.999,2522.518,2575.902,90
E06000001,60,1108,1214.315,1195.039,1290.785,1244.883,1343.098,1396.529,1376.399,1337.045,1408.581,1353.909,1352.164,1240.209,1201.202,1224.646,1266.896,1163.448,1127.305,997.136,974.111,956.332,929.63,932.326,1030.874,1077.663,1050.831,60
E06000001,61,1123,1101.001,1206.389,1188.076,1283.115,1237.793,1334.683,1388.125,1368.518,1330.074,1400.601,1346.805,1345.151,1234.654,1196.228,1219.075,1261.245,1158.762,1122.477,993.734,970.962,953.345,926.753,929.784,1027.763,1074.351,61
E06000001,62,1017,1111.548,1090.917,1194.603,1177.553,1271.789,1226.785,1322.663,1375.999,1357.03,1319.536,1388.985,1336.216,1334.655,1225.836,1188.064,1210.319,1252.348,1151.029,1114.679,987.522,965.039,947.616,921.169,924.535,1021.812,62
E06000001,63,1073,1006.527,1098.687,1079.045,1181.463,1164.962,1257.568,1213.6,1308.168,1361.339,1342.935,1306.58,1374.828,1323.343,1321.907,1215.153,1178.166,1199.818,1241.528,1141.795,1105.481,980.33,958.181,941.013,914.816,918.505,63
E06000001,64,1080,1068.012,1002.387,1092.983,1073.324,1174.843,1159.856,1251.045,1207.747,1301.539,1355.06,1336.989,1301.627,1368.598,1318.549,1317.23,1211.787,1175.286,1196.304,1237.977,1139.188,1102.617,978.763,956.813,939.701,913.86,64
E06000001,65,1031,1067.878,1057.002,993.413,1081.485,1062.95,1163.069,1148.734,1238.514,1196.205,1288.838,1341.91,1324.621,1290.075,1356.309,1307.018,1305.728,1202.244,1166.415,1187.034,1228.331,1130.977,1094.532,972.318,950.599,933.8,65
